"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"31","5","GO Biological Process","","Regulation of macrophage derived foam cell differentiation","1.09E-7","CETP|PPARG|PPARA|ADIPOQ|LPL","453","641|638|662|653|659","6.97E-12","","GO:0010743","1.0","0"
"75","5","KEGG Pathways","","PPAR signaling pathway","1.48E-7","PPARG|FABP5|PPARA|ADIPOQ|LPL","453","638|647|662|653|659","4.4E-10","","hsa03320","0.9809215346286766","0"
"67","5","WikiPathways","","PPAR signaling pathway","2.0E-7","PPARG|FABP5|PPARA|ADIPOQ|LPL","453","638|647|662|653|659","2.56E-10","","WP3942","0.9621399332236292","0"
"15","4","DISEASES","","Non-alcoholic fatty liver disease","9.31E-7","PPARG|PPARA|ADIPOQ|LPL","453","638|662|653|659","2.03E-10","","DOID:0080208","0.866209931892971","0"
"13","4","GO Biological Process","","Negative regulation of macrophage derived foam cell differentiation","9.76E-7","CETP|PPARG|PPARA|ADIPOQ","453","641|638|662|653","1.24E-10","","GO:0010745","0.8632655986404336","0"
"167","6","GO Biological Process","","Regulation of lipid localization","9.76E-7","CETP|MIF|PPARG|PPARA|ADIPOQ|LPL","453","641|668|638|662|653|659","1.87E-10","","GO:1905952","0.8632655986404336","0"
"25","4","DISEASES","","Type 2 diabetes mellitus","1.9E-6","PPARG|DPP4|PPARA|ADIPOQ","453","638|665|662|653","1.24E-9","","DOID:9352","0.8217143269446208","0"
"130","5","WikiPathways","","Adipogenesis","2.44E-6","MIF|PPARG|PPARA|ADIPOQ|LPL","453","668|638|662|653|659","6.25E-9","","WP236","0.8061114431325118","0"
"111","5","GO Biological Process","","Positive regulation of lipid localization","1.14E-5","CETP|MIF|PPARG|ADIPOQ|LPL","453","641|668|638|653|659","2.91E-9","","GO:1905954","0.7099523110530134","0"
"139","5","GO Biological Process","","Regulation of lipid transport","2.72E-5","CETP|MIF|PPARG|PPARA|ADIPOQ","453","641|668|638|662|653","8.66E-9","","GO:0032368","0.6557102908307463","0"
"1645","9","GO Biological Process","","Small molecule metabolic process","2.72E-5","CETP|MIF|MPO|PPARG|FABP5|NOS3|PPARA|ADIPOQ|LPL","453","641|668|644|638|647|650|662|653|659","9.52E-9","","GO:0044281","0.6557102908307463","0"
"54","4","GO Biological Process","","Regulation of plasma lipoprotein particle levels","4.91E-5","CETP|MPO|ADIPOQ|LPL","453","641|644|653|659","2.19E-8","","GO:0097006","0.6188686563384284","0"
"387","6","GO Biological Process","","Negative regulation of response to external stimulus","5.04E-5","MIF|PPARG|NOS3|DPP4|PPARA|ADIPOQ","453","668|638|650|665|662|653","2.57E-8","","GO:0032102","0.6172386492269487","0"
"14","3","DISEASES","","Hyperglycemia","1.0E-4","PPARG|DPP4|ADIPOQ","453","638|665|653","8.76E-8","","DOID:4195","0.5745002187505651","0"
"846","7","GO Biological Process","","Oxoacid metabolic process","1.4E-4","MIF|MPO|PPARG|NOS3|PPARA|ADIPOQ|LPL","453","668|644|638|650|662|653|659","7.86E-8","","GO:0043436","0.5535125716348805","0"
