"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"75","4","KEGG Pathways","","PPAR signaling pathway","2.59E-5","FABP4|PPARG|FABP5|LPL","11732","11926|11917|11923|11941","7.72E-8","","hsa03320","1.0","0"
"67","4","WikiPathways","","PPAR signaling pathway","3.91E-5","FABP4|PPARG|FABP5|LPL","11732","11926|11917|11923|11941","5.0E-8","","WP3942","0.9610009409566778","0"
"8","3","TISSUES","","Preadipocyte","5.16E-5","FABP4|PPARG|LEP","11732","11926|11917|11932","2.13E-8","","BTO:0001107","0.9347352296533943","0"
"130","4","WikiPathways","","Adipogenesis","2.5E-4","MIF|PPARG|LEP|LPL","11732","11944|11917|11932|11941","6.5E-7","","WP236","0.7853270992335615","0"
"30","3","WikiPathways","","Familial partial lipodystrophy","2.5E-4","FABP4|PPARG|LPL","11732","11926|11917|11941","6.99E-7","","WP5102","0.7853270992335615","0"
"84","4","Reactome Pathways","","Transcriptional regulation of white adipocyte differentiation","2.7E-4","FABP4|PPARG|LEP|LPL","11732","11926|11917|11932|11941","1.2E-7","","HSA-381340","0.7780399965741799","0"
"167","5","GO Biological Process","","Regulation of lipid localization","3.3E-4","CETP|MIF|PPARG|LEP|LPL","11732","11920|11944|11917|11932|11941","2.11E-8","","GO:1905952","0.7590393705824436","0"
"964","7","GO Biological Process","","Regulation of response to external stimulus","0.0012","MIF|HGF|FABP4|PPARG|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11935|11932|11941","1.91E-7","","GO:0032101","0.6368017537050391","0"
"1505","8","GO Biological Process","","Positive regulation of multicellular organismal process","0.0012","MIF|HGF|FABP4|PPARG|FABP5|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11923|11935|11932|11941","1.58E-7","","GO:0051240","0.6368017537050391","0"
"111","4","GO Biological Process","","Positive regulation of lipid localization","0.0014","CETP|MIF|PPARG|LPL","11732","11920|11944|11917|11941","3.52E-7","","GO:1905954","0.6222059034887226","0"
"329","5","GO Biological Process","","Lipid transport","0.0018","CETP|FABP4|PPARG|FABP5|LEP","11732","11920|11926|11917|11923|11932","5.76E-7","","GO:0006869","0.5984100450695587","0"
"147","4","GO Biological Process","","Response to nutrient","0.002","PPARG|TNFRSF11B|LEP|LPL","11732","11917|11947|11932|11941","1.05E-6","","GO:0007584","0.5884339210136753","0"
"31","3","GO Biological Process","","Regulation of macrophage derived foam cell differentiation","0.002","CETP|PPARG|LPL","11732","11920|11917|11941","7.67E-7","","GO:0010743","0.5884339210136753","0"
"33","3","GO Biological Process","","Cellular response to nutrient","0.002","PPARG|LEP|LPL","11732","11917|11932|11941","9.14E-7","","GO:0031670","0.5884339210136753","0"
"387","5","GO Biological Process","","Negative regulation of response to external stimulus","0.002","MIF|HGF|PPARG|NOS3|LEP","11732","11944|11929|11917|11935|11932","1.27E-6","","GO:0032102","0.5884339210136753","0"
"139","4","GO Biological Process","","Regulation of lipid transport","0.002","CETP|MIF|PPARG|LEP","11732","11920|11944|11917|11932","8.43E-7","","GO:0032368","0.5884339210136753","0"
"2749","9","GO Biological Process","","Regulation of multicellular organismal process","0.002","MIF|HGF|FABP4|PPARG|FABP5|TNFRSF11B|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11923|11947|11935|11932|11941","8.55E-7","","GO:0051239","0.5884339210136753","0"
"161","4","GO Biological Process","","Lipid homeostasis","0.002","CETP|FABP4|PPARG|LPL","11732","11920|11926|11917|11941","1.49E-6","","GO:0055088","0.5884339210136753","0"
"4","2","TISSUES","","Preadipocyte cell line","0.0022","FABP4|PPARG","11732","11926|11917","4.24E-6","","BTO:0000746","0.5794094190778226","0"
"176","4","TISSUES","","Adipose tissue","0.0022","FABP4|PPARG|LEP|LPL","11732","11926|11917|11932|11941","2.11E-6","","BTO:0001487","0.5794094190778226","0"
"5","2","TISSUES","","Subcutaneous adipose tissue","0.0022","PPARG|LEP","11732","11917|11932","5.94E-6","","BTO:0004042","0.5794094190778226","0"
"3","2","TISSUES","","Intramuscular adipose tissue","0.0022","FABP4|PPARG","11732","11926|11917","2.83E-6","","BTO:0004043","0.5794094190778226","0"
"1373","7","GO Biological Process","","Regulation of response to stress","0.0023","MIF|HGF|FABP4|PPARG|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11935|11932|11941","2.09E-6","","GO:0080134","0.575200477092862","0"
"1406","7","GO Biological Process","","Homeostatic process","0.0024","CETP|FABP4|PPARG|FABP5|NOS3|LEP|LPL","11732","11920|11926|11917|11923|11935|11932|11941","2.45E-6","","GO:0042592","0.5711706942984104","0"
"2131","8","GO Biological Process","","Positive regulation of response to stimulus","0.0024","MIF|HGF|FABP4|PPARG|FABP5|NOS3|LEP|LPL","11732","11944|11929|11926|11917|11923|11935|11932|11941","2.32E-6","","GO:0048584","0.5711706942984104","0"
"96","4","Monarch Phenotype","","Hyperlipidemia","0.0024","CETP|PPARG|LEP|LPL","11732","11920|11917|11932|11941","2.0E-7","","HP:0003077","0.5711706942984104","0"
"50","3","GO Biological Process","","Regulation of lipid storage","0.0028","PPARG|LEP|LPL","11732","11917|11932|11941","2.98E-6","","GO:0010883","0.5565748440820939","0"
"904","6","GO Biological Process","","Chemical homeostasis","0.0031","CETP|FABP4|PPARG|FABP5|LEP|LPL","11732","11920|11926|11917|11923|11932|11941","3.61E-6","","GO:0048878","0.5469374882013037","0"
"9","2","TISSUES","","3T3-L1 cell","0.0031","FABP4|PPARG","11732","11926|11917","1.55E-5","","BTO:0000011","0.5469374882013037","0"
"9","2","TISSUES","","Abdominal adipose tissue","0.0031","PPARG|LEP","11732","11917|11932","1.55E-5","","BTO:0004041","0.5469374882013037","0"
"55","3","GO Biological Process","","Long-chain fatty acid transport","0.0032","FABP4|PPARG|FABP5","11732","11926|11917|11923","3.92E-6","","GO:0015909","0.543931343527262","0"
"918","6","GO Biological Process","","Cellular lipid metabolic process","0.0032","CETP|MIF|PPARG|FABP5|LEP|LPL","11732","11920|11944|11917|11923|11932|11941","3.94E-6","","GO:0044255","0.543931343527262","0"
"10","2","WikiPathways","","Lipid particles composition","0.0036","CETP|LPL","11732","11920|11941","1.86E-5","","WP3601","0.5327789856629301","0"
