"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"73","4","GO Biological Process","","Regulation of glucose transmembrane transport","0.0016","FABP5|LEP|EDN1|CAPN10","16353","16541|16553|16550|16559","1.04E-7","","GO:0010827","1.0","0"
"2","2","TISSUES","","Saphenous vein","0.0049","NOS3|EDN1","16353","16556|16550","2.04E-6","","BTO:0001808","0.8261455805123092","0"
"6","2","TISSUES","","Mesenteric artery","0.0086","NOS3|EDN1","16353","16556|16550","9.49E-6","","BTO:0000779","0.7387661616175288","0"
"5","2","TISSUES","","Arteriole","0.0086","NOS3|EDN1","16353","16556|16550","7.12E-6","","BTO:0001997","0.7387661616175288","0"
"7","2","TISSUES","","Vascular smooth muscle cell","0.0086","NOS3|EDN1","16353","16556|16550","1.22E-5","","BTO:0004578","0.7387661616175288","0"
"9","2","TISSUES","","Vasculature","0.009","NOS3|EDN1","16353","16556|16550","1.86E-5","","BTO:0003718","0.7317043213120522","0"
"41","3","DISEASES","","Hypertension","0.0103","NOS3|LEP|EDN1","16353","16556|16553|16550","2.25E-6","","DOID:10763","0.7107467999225939","0"
"41","3","GO Biological Process","","Superoxide metabolic process","0.0116","MPO|NOS3|EDN1","16353","16538|16556|16550","2.25E-6","","GO:0006801","0.6922836454948217","0"
"145","4","GO Biological Process","","Regulation of nervous system process","0.0116","HGF|FABP5|NOS3|EDN1","16353","16544|16541|16556|16550","1.48E-6","","GO:0031644","0.6922836454948217","0"
"387","5","GO Biological Process","","Negative regulation of response to external stimulus","0.0116","HGF|NOS3|LEP|DPP4|EDN1","16353","16544|16556|16553|16565|16550","2.14E-6","","GO:0032102","0.6922836454948217","0"
"2079","8","COMPARTMENTS","","Extracellular region","0.012","HGF|MPO|FABP5|TNFRSF11B|LEP|DPP4|EDN1|LPL","16353","16544|16538|16541|16568|16553|16565|16550|16547","5.21E-6","","GOCC:0005576","0.687017590896852","0"
"12","2","TISSUES","","Pulmonary artery","0.0125","NOS3|EDN1","16353","16556|16550","3.08E-5","","BTO:0000778","0.6806765580733931","0"
"1244","6","TISSUES","","Placenta","0.0148","HGF|NOS3|LEP|DPP4|EDN1|LPL","16353","16544|16556|16553|16565|16550|16547","4.26E-5","","BTO:0001078","0.6544409177984643","0"
"2804","8","TISSUES","","Internal female genital organ","0.0149","HGF|FABP5|NOS3|LEP|DPP4|EDN1|CAPN10|LPL","16353","16544|16541|16556|16553|16565|16550|16559|16547","4.91E-5","","BTO:0003099","0.6533948954372848","0"
"249","4","DISEASES","","Vascular disease","0.0278","MPO|NOS3|LEP|EDN1","16353","16538|16556|16553|16550","1.21E-5","","DOID:178","0.5565171589730777","0"
"6","2","GO Biological Process","","Regulation of systemic arterial blood pressure by endothelin","0.0298","NOS3|EDN1","16353","16556|16550","9.49E-6","","GO:0003100","0.5457257559189366","0"
"964","6","GO Biological Process","","Regulation of response to external stimulus","0.0298","HGF|NOS3|LEP|DPP4|EDN1|LPL","16353","16544|16556|16553|16565|16550|16547","1.0E-5","","GO:0032101","0.5457257559189366","0"
