"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3367","81","GO Biological Process","","Regulation of signaling","4.08E-27","CEACAM1|MIF|OSM|USP18|RIPK3|LBP|HGF|GCK|CYP27B1|IFNG|CCR7|KLB|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|FABP5|NOS3|PRL|PCSK9|ADORA2B|MET|SLC2A4|CD28|CD86|NLRP3|ATF3|GATA2|ARG1|NR3C2|CX3CR1|CCL20|TLR9|CD3E|SGK1|DUSP5|RBP4|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|CYP19A1|GPER1|TRPM2|POMC|NPPC|ACE2|TNF|AGTR1|TRPV4|MME|DOCK2|RGS5|AGAP2|LDLR|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","17588","18037|17803|17935|17971|18121|17815|18130|18112|17872|17947|17944|17890|17794|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18025|18013|17824|18007|17791|17860|17941|18067|18019|17857|17854|17842|18034|18079|18145|17863|18148|18151|17917|17833|17980|18139|17926|18073|18028|17923|17983|17899|17800|17905|18103|18001|18064|18094|17773|17851|18031|17887|18010|17911|17875|18109|17950|17839|18082|17878|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","2.6E-31","","GO:0023051","2.638933983691012","0"
"3931","86","GO Biological Process","","Regulation of response to stimulus","4.13E-27","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|LBP|HGF|CYP27B1|IFNG|CCR7|GGT1|KLB|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|NCR1|CCR2|F2RL1|FABP5|NOS3|PRL|PCSK9|ADORA2B|ANGPT2|MET|SLC2A4|CD28|CD86|NLRP3|CCR6|ATF3|GATA2|ARG1|NR3C2|CX3CR1|CCL20|DPP4|TLR9|CD3E|SGK1|AIM2|DUSP5|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|CYP19A1|GPER1|TRPM2|POMC|CD8A|NPPC|ACE2|TNF|AGTR1|TRPV4|DOCK2|RGS5|AGAP2|LDLR|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","17588","18037|17893|17803|17935|17971|18121|17815|18130|17872|17947|17944|18106|17890|17794|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|17929|18124|17965|18025|18013|17824|18007|17791|17908|17860|17941|18067|18019|17857|18136|17854|17842|18034|18079|18145|17863|17866|18148|18151|17917|17962|17833|18139|17926|18073|18028|17923|17983|17899|17800|17905|18103|18001|18064|18094|17773|17851|17806|18031|17887|18010|17911|17875|17950|17839|18082|17878|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","5.26E-31","","GO:0048583","2.6384049948343598","0"
"2692","73","GO Biological Process","","Response to organic substance","8.72E-27","CEACAM1|TBX21|OSM|USP18|LBP|AQP9|AMH|HGF|GCK|MPO|CYP27B1|IFNG|CCR7|KLB|IL1RN|RORA|WNT5A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|ATF3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|CCL20|TLR9|NR5A2|SGK1|AIM2|RBP4|CARD9|ADA|TREM2|ABCA1|PRKCZ|GATA3|LY86|LILRB4|CYP19A1|GPER1|TRPM2|POMC|NPPC|TNF|AGTR1|TRPV4|TRIB3|MME|CSRP3|CYP2E1|NR4A1|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","17588","18037|17893|17935|17971|17815|18055|17869|18130|18112|17785|17872|17947|17944|17890|17794|17821|17812|18049|18040|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|17854|17842|18034|18079|18145|17953|17863|18148|17830|17917|17962|17980|18139|17926|18073|17923|17983|17899|17905|18001|18064|18094|17773|17851|18031|18010|17911|17875|18097|18109|18052|17782|17884|17878|17818|18058|17989|18100|17920|17845|17932|18004","1.84E-30","","GO:0010033","2.6059483515067434","0"
"3355","80","GO Biological Process","","Regulation of cell communication","8.72E-27","CEACAM1|MIF|OSM|USP18|RIPK3|LBP|HGF|GCK|CYP27B1|IFNG|CCR7|KLB|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|FABP5|NOS3|PRL|PCSK9|ADORA2B|MET|SLC2A4|CD28|CD86|NLRP3|ATF3|GATA2|ARG1|NR3C2|CX3CR1|CCL20|TLR9|CD3E|SGK1|DUSP5|RBP4|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|CYP19A1|GPER1|TRPM2|POMC|NPPC|ACE2|TNF|AGTR1|TRPV4|MME|DOCK2|RGS5|AGAP2|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","17588","18037|17803|17935|17971|18121|17815|18130|18112|17872|17947|17944|17890|17794|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18025|18013|17824|18007|17791|17860|17941|18067|18019|17857|17854|17842|18034|18079|18145|17863|18148|18151|17917|17833|17980|18139|17926|18073|18028|17923|17983|17899|17800|17905|18103|18001|18064|18094|17773|17851|18031|17887|18010|17911|17875|18109|17950|17839|18082|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","1.67E-30","","GO:0010646","2.6059483515067434","0"
"964","47","GO Biological Process","","Regulation of response to external stimulus","6.49E-25","CEACAM1|MIF|OSM|USP18|LBP|HGF|CYP27B1|IFNG|CCR7|GGT1|RORA|NLRC5|WNT5A|PPARG|ACE|NCR1|CCR2|F2RL1|NOS3|ADORA2B|ANGPT2|MET|CD28|NLRP3|CCR6|ARG1|CX3CR1|DPP4|TLR9|AIM2|CARD9|ADA|TREM2|GATA3|LY86|CYP19A1|GPER1|POMC|ACE2|TNF|AGTR1|TRPV4|LDLR|CCL5|CCL4|DAPK2|SOCS1","17588","18037|17803|17935|17971|17815|18130|17872|17947|17944|18106|17821|18085|17812|18040|17896|17929|18124|17965|18013|17791|17908|17860|18067|17857|18136|18034|18145|17866|18148|17962|18139|17926|18073|17899|17905|18064|18094|17851|17887|18010|17911|17875|17878|17989|18100|17836|17932","2.07E-28","","GO:0032101","2.418775530319963","0"
"2978","73","GO Biological Process","","Regulation of signal transduction","2.83E-24","CEACAM1|MIF|OSM|USP18|RIPK3|LBP|HGF|CYP27B1|IFNG|CCR7|KLB|IL1RN|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|S100B|CCR2|F2RL1|FABP5|NOS3|PRL|PCSK9|ADORA2B|MET|SLC2A4|CD28|CD86|NLRP3|ATF3|GATA2|ARG1|NR3C2|CX3CR1|CCL20|TLR9|CD3E|SGK1|DUSP5|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|GPER1|POMC|NPPC|ACE2|TNF|TRPV4|DOCK2|RGS5|AGAP2|GIPR|SARM1|CCL5|KCP|CCL4|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","17588","18037|17803|17935|17971|18121|17815|18130|17872|17947|17944|17890|17794|17821|18085|17812|17998|17968|18049|18040|17938|17977|18124|17965|18025|18013|17824|18007|17791|17860|17941|18067|18019|17857|17854|17842|18034|18079|18145|17863|18148|18151|17917|17833|18139|17926|18073|18028|17923|17983|17899|17800|17905|18103|18001|18094|17851|18031|17887|18010|17875|17950|17839|18082|17818|18058|17989|18043|18100|17836|17845|17932|18004|17848","1.08E-27","","GO:0009966","2.354821356447571","0"
"4010","82","GO Biological Process","","Response to chemical","1.66E-23","CEACAM1|TBX21|MIF|OSM|USP18|RIPK3|LBP|AQP9|AMH|HGF|GCK|MPO|CYP27B1|IFNG|CCR7|KLB|IL1RN|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|NRG1|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|MET|SLC2A4|RORC|CD86|NLRP3|CCR6|ATF3|GATA2|ARG1|NR3C2|CX3CR1|STAT4|CCL20|DPP4|TLR9|NR5A2|SGK1|AIM2|CYP2J2|RBP4|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|LY86|LILRB4|CYP19A1|GPER1|TRPM2|POMC|NPPC|TNF|AGTR1|TRPV4|TRIB3|MME|DOCK2|CSRP3|CYP2E1|NR4A1|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|TLR5|SOCS1|ENPP1","17588","18037|17893|17803|17935|17971|18121|17815|18055|17869|18130|18112|17785|17872|17947|17944|17890|17794|17821|17812|17956|18049|18040|17938|17896|18124|18133|18013|18007|17776|17908|17860|17941|17992|18019|17857|18136|17854|17842|18034|18079|18145|17953|17863|17866|18148|17830|17917|17962|17986|17980|18139|17926|18073|18028|17923|17983|17899|17905|18001|18064|18094|17773|17851|18031|18010|17911|17875|18097|18109|17950|18052|17782|17884|17878|17818|18058|17989|18100|17920|17845|17932|18004","7.41E-27","","GO:0042221","2.2779891911959944","0"
"6357","100","GO Biological Process","","Cellular response to stimulus","2.05E-23","CEACAM1|TBX21|MIF|OSM|RIPK3|MACROD2|LBP|AQP9|AMH|HGF|GCK|MPO|IFNG|CCR7|KLB|IL1RN|RORA|NLRC5|WNT5A|PPARGC1A|SFRP5|PDE3B|PPARG|NRG1|ACE|NCR1|CCR2|CCR5|MERTK|F2RL1|NOS3|PRL|PCSK9|ADORA2B|PPARGC1B|ANGPT2|MET|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|ATF3|ARG1|NR3C2|CX3CR1|STAT4|CCL20|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|DUSP5|CYP2J2|CARD9|ADA|TREM2|GHRH|ABCA1|PRKCZ|GATA3|LY86|CCM2|LILRB4|NRG4|ADM2|GPER1|TRPM2|POMC|CD8A|NPPC|SENP1|TNF|AGTR1|HMGA1|TRPV4|TRIB3|MME|DOCK2|CSRP3|RGS5|CYP2E1|NR4A1|AGAP2|GPR84|LDLR|GIPR|SARM1|CCL5|ANGPTL8|CCL4|ACACA|DAPK2|TLR5|SOCS1|ENPP1|SOCS7","17588","18037|17893|17803|17935|18121|18127|17815|18055|17869|18130|18112|17785|17947|17944|17890|17794|17821|18085|17812|17956|17968|18049|18040|17938|17896|17929|18124|18133|18070|17965|18013|17824|18007|17791|17776|17908|17860|17941|18067|17992|18019|17857|18136|17854|18034|18079|18145|17953|17863|17866|18148|18151|17830|17917|17962|17833|17986|18139|17926|18073|18028|17923|17983|17899|17905|18088|18001|18118|17881|18094|17773|17851|17806|18031|18091|18010|17911|17914|17875|18097|18109|17950|18052|17839|17782|17884|18082|18046|17878|17818|18058|17989|17902|18100|17920|17836|17845|17932|18004|17848","1.05E-26","","GO:0051716","2.2688246138944246","0"
"2749","69","GO Biological Process","","Regulation of multicellular organismal process","4.19E-23","CEACAM1|TBX21|MIF|OSM|RIPK3|LBP|HGF|CYP27B1|IFNG|CCR7|RORA|WNT5A|PPARGC1A|PDE3B|PPARG|NRG1|ACE|CCR2|MERTK|F2RL1|FABP5|NOS3|PRL|PCSK9|ADORA2B|PPARGC1B|ANGPT2|MET|CD28|CD86|NLRP3|GATA2|ARG1|CX3CR1|TLR9|CD3E|SGK1|AIM2|CYP2J2|RBP4|CARD9|ADA|LCN2|TREM2|GHRH|ABCA1|PRKCZ|GATA3|XDH|IRF4|CCM2|LILRB4|ADM2|CYP19A1|GPER1|POMC|NPPC|ACE2|TNF|AGTR1|TRPV4|MME|CSRP3|NR4A1|AGAP2|LDLR|TLR5|SOCS1|ENPP1","17588","18037|17893|17803|17935|18121|17815|18130|17872|17947|17944|17821|17812|17956|18049|18040|17938|17896|18124|18070|17965|18025|18013|17824|18007|17791|17776|17908|17860|18067|18019|17857|17842|18034|18145|18148|18151|17917|17962|17986|17980|18139|17926|17779|18073|18028|17923|17983|17899|17800|18103|18088|18001|17881|18064|18094|17851|18031|17887|18010|17911|17875|18109|18052|17884|18082|17878|17845|17932|18004","2.4E-26","","GO:0051239","2.2377785977033704","0"
"1547","54","GO Biological Process","","Response to oxygen-containing compound","5.62E-23","CEACAM1|RIPK3|LBP|AQP9|GCK|MPO|CYP27B1|CCR7|RORA|WNT5A|PDE3B|PPARG|ACE|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|ARG1|CX3CR1|STAT4|TLR9|SGK1|RBP4|CARD9|TREM2|ABCA1|PRKCZ|GATA3|LY86|CYP19A1|GPER1|TRPM2|POMC|NPPC|TNF|AGTR1|TRPV4|TRIB3|CSRP3|CYP2E1|NR4A1|LDLR|GIPR|SARM1|CCL5|ACACA|TLR5|SOCS1|ENPP1","17588","18037|18121|17815|18055|18112|17785|17872|17944|17821|17812|18049|18040|17896|18133|18013|18007|17776|17908|17941|17992|18019|17857|18034|18145|17953|18148|17917|17980|18139|18073|17923|17983|17899|17905|18064|18094|17773|17851|18031|18010|17911|17875|18097|18052|17782|17884|17878|17818|18058|17989|17920|17845|17932|18004","3.59E-26","","GO:1901700","2.225026368443094","0"
