"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3931","64","GO Biological Process","","Regulation of response to stimulus","6.37E-20","TBX21|MIF|OSM|USP18|RIPK3|HGF|CYP27B1|CCR7|KLB|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|NCR1|CCR2|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|ANGPT2|SLC2A4|CD28|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|DPP4|TLR9|CD3E|SGK1|AIM2|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|TRPM2|CD8A|ACE2|TNF|TRPV4|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS7","55687","17893|17803|17935|17971|18121|18130|17872|17944|17890|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|17929|18124|17965|18025|18013|18007|17791|17908|17941|18067|18019|17857|18136|17842|18079|18145|17866|18148|18151|17917|17962|18139|17926|17923|17983|17899|17800|17905|18103|18001|17773|17806|17887|18010|17875|17950|18082|17878|17818|18058|17989|18100|17836|17845|17848","4.06E-24","","GO:0048583","1.9195860567664649","0"
"3367","58","GO Biological Process","","Regulation of signaling","2.64E-18","MIF|OSM|USP18|RIPK3|HGF|CYP27B1|CCR7|KLB|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|SLC2A4|CD28|CD86|NLRP3|GATA2|NR3C2|CX3CR1|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|TRPM2|ACE2|TNF|TRPV4|MME|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS7","55687","17803|17935|17971|18121|18130|17872|17944|17890|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18025|18013|18007|17791|17941|18067|18019|17857|17842|18079|18145|18148|18151|17917|18139|17926|17923|17983|17899|17800|17905|18103|18001|17773|17887|18010|17875|18109|17950|18082|17878|17818|18058|17989|18100|17836|17845|17848","3.37E-22","","GO:0023051","1.757839607313017","0"
"964","35","GO Biological Process","","Regulation of response to external stimulus","3.39E-18","MIF|OSM|USP18|HGF|CYP27B1|CCR7|RORA|NLRC5|WNT5A|PPARG|ACE|NCR1|CCR2|F2RL1|NOS3|ADORA2B|ANGPT2|CD28|NLRP3|CCR6|CX3CR1|DPP4|TLR9|AIM2|CARD9|ADA|GATA3|LY86|ACE2|TNF|TRPV4|LDLR|CCL5|CCL4|DAPK2","55687","17803|17935|17971|18130|17872|17944|17821|18085|17812|18040|17896|17929|18124|17965|18013|17791|17908|18067|17857|18136|18145|17866|18148|17962|18139|17926|17899|17905|17887|18010|17875|17878|17989|18100|17836","6.49E-22","","GO:0032101","1.7469800301796918","0"
"1438","40","GO Biological Process","","Regulation of immune system process","7.33E-18","TBX21|MIF|USP18|RIPK3|CCR7|RORA|NLRC5|WNT5A|PPARG|NCR1|CCR2|MERTK|F2RL1|ADORA2B|PPARGC1B|CD28|CD86|NLRP3|CCR6|GATA2|CX3CR1|DPP4|TLR9|CD3E|AIM2|CARD9|ADA|PRKCZ|GATA3|IRF4|LILRB4|CD8A|TNF|TRPV4|LDLR|SARM1|CCL5|CCL4|DAPK2|TLR5","55687","17893|17803|17971|18121|17944|17821|18085|17812|18040|17929|18124|18070|17965|17791|17776|18067|18019|17857|18136|17842|18145|17866|18148|18151|17962|18139|17926|17983|17899|18103|18001|17806|18010|17875|17878|18058|17989|18100|17836|17845","3.45E-21","","GO:0002682","1.7134896025358874","0"
"2978","54","GO Biological Process","","Regulation of signal transduction","7.33E-18","MIF|OSM|USP18|RIPK3|HGF|CYP27B1|CCR7|KLB|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|S100B|CCR2|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|SLC2A4|CD28|CD86|NLRP3|GATA2|NR3C2|CX3CR1|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|ACE2|TNF|TRPV4|DOCK2|AGAP2|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS7","55687","17803|17935|17971|18121|18130|17872|17944|17890|17821|18085|17812|17998|17968|18049|18040|17938|17977|18124|17965|18025|18013|18007|17791|17941|18067|18019|17857|17842|18079|18145|18148|18151|17917|18139|17926|17923|17983|17899|17800|17905|18103|18001|17887|18010|17875|17950|18082|17818|18058|17989|18100|17836|17845|17848","3.19E-21","","GO:0009966","1.7134896025358874","0"
"2692","52","GO Biological Process","","Response to organic substance","7.33E-18","TBX21|OSM|USP18|AMH|HGF|MPO|CYP27B1|CCR7|KLB|RORA|WNT5A|PDE3B|PPARG|ACE|CCR2|CCR5|NOS3|PCSK9|PPARGC1B|ANGPT2|SLC2A4|RORC|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|STAT4|TLR9|NR5A2|SGK1|AIM2|CARD9|ADA|ABCA1|PRKCZ|GATA3|LY86|LILRB4|TRPM2|TNF|TRPV4|TRIB3|MME|LDLR|GIPR|SARM1|CCL5|CCL4|ACACA|TLR5","55687","17893|17935|17971|17869|18130|17785|17872|17944|17890|17821|17812|18049|18040|17896|18124|18133|18013|18007|17776|17908|17941|17992|18019|17857|18136|17842|18079|18145|17953|18148|17830|17917|17962|18139|17926|17923|17983|17899|17905|18001|17773|18010|17875|18097|18109|17878|17818|18058|17989|18100|17920|17845","1.87E-21","","GO:0010033","1.7134896025358874","0"
"3355","57","GO Biological Process","","Regulation of cell communication","7.33E-18","MIF|OSM|USP18|RIPK3|HGF|CYP27B1|CCR7|KLB|RORA|NLRC5|WNT5A|DNAJC27|SFRP5|PDE3B|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|SLC2A4|CD28|CD86|NLRP3|GATA2|NR3C2|CX3CR1|TLR9|CD3E|SGK1|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|TRPM2|ACE2|TNF|TRPV4|MME|DOCK2|AGAP2|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5|SOCS7","55687","17803|17935|17971|18121|18130|17872|17944|17890|17821|18085|17812|17998|17968|18049|18040|17938|17896|17977|18124|17965|18025|18013|18007|17791|17941|18067|18019|17857|17842|18079|18145|18148|18151|17917|18139|17926|17923|17983|17899|17800|17905|18103|18001|17773|17887|18010|17875|18109|17950|18082|17818|18058|17989|18100|17836|17845|17848","2.19E-21","","GO:0010646","1.7134896025358874","0"
"2131","47","GO Biological Process","","Positive regulation of response to stimulus","7.33E-18","TBX21|MIF|OSM|RIPK3|HGF|CYP27B1|CCR7|KLB|NLRC5|WNT5A|DNAJC27|PPARG|NRG1|ACE|S100B|CCR2|F2RL1|FABP5|NOS3|ADORA2B|SLC2A4|CD28|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|TLR9|CD3E|AIM2|CARD9|ADA|PRKCZ|GATA3|XDH|LY86|CD8A|TNF|TRPV4|AGAP2|LDLR|GIPR|CCL5|CCL4|DAPK2|TLR5","55687","17893|17803|17935|18121|18130|17872|17944|17890|18085|17812|17998|18040|17938|17896|17977|18124|17965|18025|18013|17791|17941|18067|18019|17857|18136|17842|18079|18145|18148|18151|17962|18139|17926|17983|17899|17800|17905|17806|18010|17875|18082|17878|17818|17989|18100|17836|17845","2.75E-21","","GO:0048584","1.7134896025358874","0"
"1505","41","GO Biological Process","","Positive regulation of multicellular organismal process","7.33E-18","TBX21|MIF|OSM|HGF|CYP27B1|CCR7|RORA|WNT5A|PPARGC1A|PPARG|NRG1|ACE|CCR2|F2RL1|FABP5|NOS3|ADORA2B|PPARGC1B|ANGPT2|CD28|CD86|NLRP3|GATA2|CX3CR1|TLR9|CD3E|AIM2|CARD9|ADA|ABCA1|PRKCZ|GATA3|IRF4|LILRB4|ADM2|ACE2|TNF|TRPV4|MME|AGAP2|TLR5","55687","17893|17803|17935|18130|17872|17944|17821|17812|17956|18040|17938|17896|18124|17965|18025|18013|17791|17776|17908|18067|18019|17857|17842|18145|18148|18151|17962|18139|17926|17923|17983|17899|18103|18001|17881|17887|18010|17875|18109|18082|17845","1.88E-21","","GO:0051240","1.7134896025358874","0"
"6207","73","GO Biological Process","","Positive regulation of biological process","3.0E-17","TBX21|MIF|OSM|RIPK3|AMH|HGF|CYP27B1|CCR7|KLB|RORA|NLRC5|WNT5A|DNAJC27|PPARGC1A|PPARG|NRG1|ACE|S100B|CCR2|MERTK|F2RL1|FABP5|NOS3|PCSK9|ADORA2B|CD248|PPARGC1B|ANGPT2|SLC2A4|CD28|RORC|CD86|NLRP3|CCR6|GATA2|NR3C2|CX3CR1|STAT4|DPP4|TLR9|CD3E|NR5A2|SGK1|AIM2|CARD9|ADA|ABCA1|PRKCZ|GATA3|XDH|LY86|IRF4|LILRB4|ADM2|FITM2|TRPM2|CD8A|ACE2|SENP1|TNF|HMGA1|TRPV4|TRIB3|MME|DOCK2|AGAP2|LDLR|GIPR|SARM1|CCL5|CCL4|DAPK2|TLR5","55687","17893|17803|17935|18121|17869|18130|17872|17944|17890|17821|18085|17812|17998|17956|18040|17938|17896|17977|18124|18070|17965|18025|18013|18007|17791|18115|17776|17908|17941|18067|17992|18019|17857|18136|17842|18079|18145|17953|17866|18148|18151|17830|17917|17962|18139|17926|17923|17983|17899|17800|17905|18103|18001|17881|18076|17773|17806|17887|18091|18010|17914|17875|18097|18109|17950|18082|17878|17818|18058|17989|18100|17836|17845","1.91E-20","","GO:0048518","1.6522878745280338","0"
